Fragetext,Antwort,Sprache,Sentiment,Zahlenwert
An der LV hat mir besonders gut gefallen:,"sehr interessante Themen, gute Erklärungen und Ausführungen durch den LV- Leiter",de,positive,0.998787097283639
An der LV hat mir besonders gut gefallen:,sympathischer Lv-Leiter,de,positive,0.9450040999799967
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,sehr aufwändiges Portfolio (trotz Gruppenarbeit/Paararbeit) - für die Anzahl an ECTS !,de,positive,0.8792921230196953
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"für 2 ECTS Punkte zu viel Aufwand --> nur das Portfolio alleine wäre besser, da dieses schon ziemlich umfangreich ist",de,positive,0.482159286737442
An der LV hat mir besonders gut gefallen:,"+ sehr sympathischer LV-Leiter, der auch auf Studierende eingeht und versucht ihre Stärken zu erkennen",de,positive,0.9382005371153355
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"manchmal scheint der LV-Leiter etwas verwirrt zu sein, schweift bei Themen ab und redet sehr viel, sodass er seinen Plan (was für einen Block geplant war) nicht einhalten konnte",de,neutral,-0.00011298535537207499
An der LV hat mir besonders gut gefallen:,"sehr sympathischer LV-Leiter, der auch auf Studierende eingeht",de,positive,0.9872702453285456
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,vielleicht etwas mehr an den Plan (also was der Professor für einen Block plant(e)) und etwas mehr Stukturierung,de,negative,-0.11707022786140442
An der LV hat mir besonders gut gefallen:,"sehr interessante Themen und Papers (besonders die zweiten Vortragsthemen, da Lehramts- spezifischer), das Filmen der Studenten sehr hilfreich (+ anschließende Feedbackrunde) ",de,positive,0.9991874884581193
An der LV hat mir besonders gut gefallen:,sympathischer LV-Leiter,de,positive,0.9587876051664352
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,keine,fi,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"vielleicht etwas genauer sagen, wie man die Zusammenfassungen/""präwissenschaftliche Arbeit"" schreiben soll bzw. auf was man achten sollte und wie genau diese geschrieben sein sollte",de,neutral,-0.005247014574706554
An der LV hat mir besonders gut gefallen:,es wurde alles sehr genau und verständlich erklärt,de,positive,0.9987861786503345
An der LV hat mir besonders gut gefallen:,"LV Leiter bemüht sich sehr den Studierenden etwas zu vermitteln. Der Schulbesuch, da man zur Abwechslung mal nicht nur vorm Computer auf der Uni gesessen ist. Die Schule war auch sehr interessant. Server einmal aufgesetzt ",de,positive,0.9509820528328419
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Klausur möglicherweise etwas kürzen, da es schon sehr lange gedauert hat. ",de,positive,0.8507147431373596
An der LV hat mir besonders gut gefallen:,der Titel- leider waren die Neuen Technologien nicht im Bewegungsradius des LV-Leiter - z.B.: Web 2.0 ist inzwischen standard und keine neue Technologie,de,negative,-0.8847902379930019
An der LV hat mir besonders gut gefallen:,* Auf die Anregungen und Krtitikpunkte der StudentInnen wurde ausführlich Rücksicht genommen,de,neutral,-5.1307993089722e-06
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Lehrperson ist sehr bemüht und kompetent. Man kann Verbesserungsvorschläge äußern, welche zum Teil berücksichtigt werden.",de,positive,0.9953888005111367
An der LV hat mir besonders gut gefallen:,"hat sich strengstens an alle Regelungen gehalten, faire Klausur, gut mit Kritik umgegangen, PS: viel Gesundheit! :)",de,positive,0.9084525741636753
An der LV hat mir besonders gut gefallen:,Erfahrungen der Lehrperson in der Schule.,de,neutral,-0.008030311204493046
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,das Thema der LV klingt so spannend - wenn man aber genauer darüber nachdenkt fällt es einem meiner Meinung nach schwer konkrete Inhalte dazu zu finden,de,negative,-0.9045034684240818
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Ich kann mir nicht vorstellen, dass mir diese LV im Unterricht nützlich sein kann. Sie sollte viel strukturierter sein und dem heutigen Stand der Technik folgen und nicht den vor 10 Jahren. Meiner Meinung nach hat diese Lehrveranstaltung nicht sehr viel mit Neue Technologien und Software Produkte an der Schule zu tun gehabt.",de,negative,-0.9509781152009964
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Strukturierung fällt, bin mit den zahllosen LINKS überfordert und verstehe den Zusammenhang nicht. ",de,negative,-0.9875001986511052
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"eine LV-Leiter einsetzen, der das Thema der überblickt und dieses Wissen auch weitervermitteln kann.",de,neutral,-3.1220802156894933e-06
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,* Ein Proseminar wäre für diese Lehrveranstaltung vermutlich besser geeignet. Dadurch wäre mehr praktische Arbeit und ev. eine Exkursion möglich.,de,positive,0.7988581582903862
,,unknown,not analyzed,
"Die Lehrperson hat den Studierenden die Gelegenheit geboten, auch während des Semesters Feedback zur Lehrveranstaltung zu geben. (Informell oder auch durch Anwendung bestimmter Methoden wie z.B. des „Blitzlichtes“ oder der „+/-/? Methode“)",und hat ein sehr nettes + ausführliches Feedback gegeben (y),de,positive,0.9296290222555399
An der LV hat mir besonders gut gefallen:,Das sie nicht regelmäßig statt gefunden hat.,de,neutral,-0.0016903596697375178
An der LV hat mir besonders gut gefallen:,persönliche Beratung sehr hilfreich,de,positive,0.9924910897389054
An der LV hat mir besonders gut gefallen:,"interessante Vorträge, faire Durchführung",de,positive,0.9794255513697863
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"innerhalb von einem Wochenende (wo ich gerne etwas anderes mache) musste man schon einen Abstract schreiben - etwas zu schnell für mich. Auch sonstige Fristen waren kaum einhaltbar, wenn man das Aufgetragene gewissenhaft machen wollte, für 3 ECTS ist die Forderung nach einer Seitenzahl von 30 Seiten doch sehr hoch gesteckt",de,negative,-0.9948424638714641
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Es wäre jedoch von Vorteil gewesen, wenn wir das Thema ""wissenschaftliche Arbeit"" besser behandelt hätten bzw. eine Einführung gehabt hätten und nicht einfach gleich innerhalb der ersten Woche die Forschungsfrage behandeln.",de,neutral,-0.00018920172442449257
An der LV hat mir besonders gut gefallen:,Zusammenarbeit mit Schule,de,positive,0.3710046410560608
An der LV hat mir besonders gut gefallen:,Praxisbezogen,de,negative,-0.6322096735239029
An der LV hat mir besonders gut gefallen:,"Gefallen hat mir dass Seiten wir learningapps und kahoot vorgestellt wurden, da man diese in Zukunft sehr gut in den Unterricht einbauen kann.",de,positive,0.9475582726299763
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Sehr viel Aufwand ,de,positive,0.9427881874144077
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"zu Semesterbeginn sollt klar geklärt werden welche Aufgaben bis zum Ende des Semesters zu absolvieren sind. So gab es von Woche zu Woche neue Aufträge und ich wusste selten, was ich jetzt wirklich machen soll. ",de,neutral,-0.007404869422316551
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Es wäre wünschenswert gewesen die Arbeitsaufträge über das Semester aufgeteilt zu bekommen und nicht alles auf einmal am Ende des Semesters,de,positive,0.808981828391552
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Dass die Professorin immer auf unsere Fragen eingegangen ist und alle Themen sehr geduldig mit uns bearbeitet hat.,de,positive,0.9993705710512586
An der LV hat mir besonders gut gefallen:,"Frau Mag. Glanzer hat sich hervorragend um das Verständnis der Studenten für die lateinische Sprache und Grammatik eingesetzt und es ist ihr auch gelungen, den Kurs interessant und motivierend zu gestalten.",de,neutral,1.2040391084155999e-05
An der LV hat mir besonders gut gefallen:,die Lehrveranstaltungstermine mit Frau Glanzer,de,neutral,-1.3183905139158014e-05
An der LV hat mir besonders gut gefallen:,die Lehrmethoden von Prof. Glanzer,de,neutral,-6.616160317207687e-05
An der LV hat mir besonders gut gefallen:,die menschliche Art Wissen zu vermitteln (Fr. Mag. Glanzer),de,neutral,-0.0036613456904888153
An der LV hat mir besonders gut gefallen:,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,",dass es ganz viele Übungen gab - war sehr hilfreich",de,positive,0.974475814960897
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,keine,fi,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Ewig Möchtegern-Lernende und Besserwisser (ohne jede Prüfung und sonst keine Ahnung: Bruno),de,negative,-0.9868678832426667
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Um alle zum Mitmachen anzuregen, könnte man jeden einen Satz oder eine Übung übersetzen/machen lassen. Leider haben oft sehr wenige nur mitgemacht.",de,positive,0.5662986040115356
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,zu spät am Abend,de,negative,-0.9765432104468346
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,,unknown,not analyzed,
,,unknown,not analyzed,
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,""" für die Katz """,de,negative,-0.5738721042871475
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,"Ich finde, dass Frau Mag. Glanzer eine ganz besonders gute Vortragende ist.",de,positive,0.7261893674731255
Das Thema dieser LV hat mich interessiert.,"sehr interessant, da Moderation mit Großgruppe möglich",de,positive,0.9874862795695662
An der LV hat mir besonders gut gefallen:,als Großgruppenveranstaltung gehalten - trotz vorheriger Skepsis gut gelaufen!,de,positive,0.9696323545649648
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,die Vielseitigkeit der Lehrinhalte,de,neutral,-1.6576611415075604e-05
